,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,0,CL,1565574772,68,-53.16,-70.91,30.2,9.17
1,Quang Ngai,99,VN,1565574757,60,15.12,108.8,88.72,1.59
2,Dikson,100,RU,1565574838,89,73.51,80.55,40.47,11.1
3,Rikitea,100,PF,1565574838,84,-23.12,-134.97,72.87,17.2
4,Russell,1,US,1565574839,70,38.9,-98.86,91.4,14.99
5,Lincoln,0,GB,1565574557,87,53.23,-0.54,54.0,9.17
6,Tuktoyaktuk,90,CA,1565574671,93,69.44,-133.03,44.6,24.16
7,Vaini,90,IN,1565574839,100,15.34,74.49,71.6,5.82
8,Castro,90,CL,1565574840,100,-42.48,-73.76,42.8,4.7
9,Ushuaia,40,AR,1565574840,94,-54.81,-68.31,32.0,17.22
10,Namatanai,0,PG,1565574841,74,-3.66,152.44,81.52,7.61
11,Bafoulabe,100,ML,1565574841,94,13.81,-10.83,73.77,13.69
12,Goba,95,ET,1565574841,93,7.01,39.97,47.14,0.63
13,Calmar,90,CA,1565574842,93,53.27,-113.81,57.99,9.17
14,Saint-Philippe,90,CA,1565574842,64,45.36,-73.48,73.99,3.36
15,Puerto Plata,20,DO,1565574551,74,19.79,-70.69,82.99,9.17
16,Klaksvik,0,FO,1565574606,93,62.23,-6.59,44.6,4.7
17,Yellowknife,20,CA,1565574843,63,62.45,-114.38,62.6,8.05
18,Necochea,67,AR,1565574708,81,-38.55,-58.74,46.0,4.0
19,Hilo,40,US,1565574865,58,19.71,-155.08,84.2,12.75
20,Cape Town,75,ZA,1565574866,87,-33.93,18.42,55.0,1.12
21,Kapaa,75,US,1565574781,66,22.08,-159.32,87.8,10.29
22,Bluff,0,AU,1565574591,29,-23.58,149.07,66.75,4.9
23,Conakry,100,GN,1565574885,82,9.52,-13.7,77.92,9.95
24,Hermanus,37,ZA,1565574885,96,-34.42,19.24,50.0,5.99
25,Pangkalanbuun,84,ID,1565574886,59,-2.68,111.62,87.1,4.74
26,Van Wert,40,US,1565574886,68,40.86,-84.58,79.0,3.36
27,Bulawayo,0,ZW,1565574887,44,-20.16,28.59,50.02,3.15
28,Clyde River,90,CA,1565574887,100,70.47,-68.59,41.0,13.87
29,Maroantsetra,79,MG,1565574888,98,-15.43,49.74,60.27,1.52
30,Inhambane,0,MZ,1565574888,82,-23.87,35.38,62.97,8.52
